Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
"In and Out of the Hospital, Neurohospitalists Shift Course for the Surge in COVID-19","Kreimer, Susan",,2020,,Neurology Today,20,9,15-18,00132985-202005070-00005,10.1097/01.NT.0000666944.33461.2a,33093,#174871,Kreimer 2020,,,174871,06-05-20
"COVID-19 Closes Labs, Slows Data Collection—The Impact on Neurology Research","Hurley, Dan",,2020,,Neurology Today,20,9,14-15,00132985-202005070-00011,10.1097/01.NT.0000666968.96428.1c,33092,#174872,Hurley 2020,,,174872,06-05-20
Investigators Ramp Up Research On Loss of Smell As Early Symptom of COVID-19,"Fitzgerald, Susan",,2020,,Neurology Today,20,9,Dec-13,00132985-202005070-00010,10.1097/01.Nt.0000666964.89379.18,33091,#174873,Fitzgerald 2020,,,174873,06-05-20
"The Second Neurologist President of the AHA: His Vision, Goals, and Work in the Time of COVID-19","Fallik, Dawn",,2020,,Neurology Today,20,9,25,00132985-202005070-00003,10.1097/01.NT.0000666936.41849.4a,33090,#174874,Fallik 2020,,,174874,06-05-20
"COVID-19: How Neurologists Are Defining Those ‘Essential’ Visits in Migraine, Stroke, Epilepsy, and Multiple Sclerosis","Collins, Thomas R.",,2020,,Neurology Today,20,9,"1,19-20",00132985-202005070-00006,10.1097/01.NT.0000666948.60903.9e,33089,#174875,Collins 2020,,,174875,06-05-20
COVID-19: Prepare for Care Rationing—Know Your Hospital Policies,"Butcher, Lola",,2020,,Neurology Today,20,9,08-Sep,00132985-202005070-00009,10.1097/01.Nt.0000666960.08079.98,33088,#174876,Butcher 2020,,,174876,06-05-20
"COVID-19: Private Practice Neurology Hit by Pay Cuts, Furloughs, and Loss of Job Benefits","Avitzur, Orly",,2020,,Neurology Today,20,9,"1,26-27",00132985-202005070-00001,10.1097/01.NT.0000666928.05972.6b,33087,#174877,Avitzur 2020,,,174877,06-05-20
COVID-19 in hospitalized children and adolescents: A systematic review on published case series (as of 31.03.2020) and first data from Germany,"Streng, A.; Hartmann, K.; Armann, J.; Berner, R.; Liese, J. G.","Background: The clinical knowledge about the course, complications and treatment of COVID-19 in children and adolescents is so far limited. Aim: This systematic review summarizes the current scientific evidence regarding the clinical presentation of COVID-19 in hospitalized children based on available case series from China. In addition, first data from a nationwide pediatric hospital survey conducted by the German Society for Pediatric Infectious Diseases (DGPI) are presented. Methods: This study evaluated 12 case series from China with 6–2143 children infected with SARS-CoV‑2, which were identified by a literature search in PubMed up to 31 March 2020. The database of the German nationwide DGPI COVID-19 survey was accessed on 6 April 2020. Results: The median patient age in the case series was between 2 and 7 years and 18–45% were infants <1 year of age. The duration of hospital stay was 5–20 days. Most commonly reported symptoms were fever and cough; in 40–100% of cases involvement of the lower respiratory tract was reported, usually confirmed by computed tomography (CT). Severe and critical courses of disease were reported in up to 8% of the children including 2 fatalities. So far the German DGPI COVID-19 survey reported 33 hospitalized children up to 6 April 2020, mostly with upper airway infections. Of these children, 45% were infants and 32% had an underlying medical condition. So far 3 children (9%) needed admission to an intensive care unit. Conclusion: COVID-19 in hospitalized children usually presented as an uncomplicated febrile upper airway infection or mild pneumonia. Severe cases or fatalities rarely occurred in children. Information on neonates and children with underlying chronic conditions as well as on therapeutic and preventive measures are urgently needed.",2020,,Monatsschrift fur Kinderheilkunde,,,,,10.1007/s00112-020-00919-7,33054,#174910,Streng 2020,,,174910,06-05-20
Chinese Public's Attention to the COVID-19 Epidemic on Social Media: Observational Descriptive Study,"Zhao, Yuxin; Cheng, Sixiang; Yu, Xiaoyan; Xu, Huilan","Background: Since the coronavirus disease (COVID-19) epidemic in China in December 2019, information and discussions about COVID-19 have spread rapidly on the internet and have quickly become the focus of worldwide attention, especially on social media. Objective: This study aims to investigate and analyze the public’s attention to events related to COVID-19 in China at the beginning of the COVID-19 epidemic (December 31, 2019, to February 20, 2020) through the Sina Microblog hot search list. Methods: We collected topics related to the COVID-19 epidemic on the Sina Microblog hot search list from December 31, 2019, to February 20, 2020, and described the trend of public attention on COVID-19 epidemic-related topics. ROST Content Mining System version 6.0 was used to analyze the collected text for word segmentation, word frequency, and sentiment analysis. We further described the hot topic keywords and sentiment trends of public attention. We used VOSviewer to implement a visual cluster analysis of hot keywords and build a social network of public opinion content. Results: The study has four main findings. First, we analyzed the changing trend of the public’s attention to the COVID-19 epidemic, which can be divided into three stages. Second, the hot topic keywords of public attention at each stage were slightly different. Third, the emotional tendency of the public toward the COVID-19 epidemic-related hot topics changed from negative to neutral, with negative emotions weakening and positive emotions increasing as a whole. Fourth, we divided the COVID-19 topics with the most public concern into five categories: the situation of the new cases of COVID-19 and its impact, frontline reporting of the epidemic and the measures of prevention and control, expert interpretation and discussion on the source of infection, medical services on the frontline of the epidemic, and focus on the worldwide epidemic and the search for suspected cases. Conclusions: Our study found that social media (eg, Sina Microblog) can be used to measure public attention toward public health emergencies. During the epidemic of the novel coronavirus, a large amount of information about the COVID-19 epidemic was disseminated on Sina Microblog and received widespread public attention. We have learned about the hotspots of public concern regarding the COVID-19 epidemic. These findings can help the government and health departments better communicate with the public on health and translate public health needs into practice to create targeted measures to prevent and control the spread of COVID-19.",2020,,J Med Internet Res,22,5,e18825,32314976,10.2196/18825,32790,#174961,Zhao 2020,,,174961,06-05-20
Conversations and Medical News Frames on Twitter: Infodemiological Study on COVID-19 in South Korea,"Park, Han Woo; Park, Sejung; Chong, Miyoung","Background: SARS-CoV-2 (severe acute respiratory coronavirus 2) was spreading rapidly in South Korea at the end of February 2020 following its initial outbreak in China, making Korea the new center of global attention. The role of social media amid the current coronavirus disease (COVID-19) pandemic has often been criticized, but little systematic research has been conducted on this issue. Social media functions as a convenient source of information in pandemic situations. Objective: Few infodemiology studies have applied network analysis in conjunction with content analysis. This study investigates information transmission networks and news-sharing behaviors regarding COVID-19 on Twitter in Korea. The real time aggregation of social media data can serve as a starting point for designing strategic messages for health campaigns and establishing an effective communication system during this outbreak. Methods: Korean COVID-19-related Twitter data were collected on February 29, 2020. Our final sample comprised of 43,832 users and 78,233 relationships on Twitter. We generated four networks in terms of key issues regarding COVID-19 in Korea. This study comparatively investigates how COVID-19-related issues have circulated on Twitter through network analysis. Next, we classified top news channels shared via tweets. Lastly, we conducted a content analysis of news frames used in the top-shared sources. Results: The network analysis suggests that the spread of information was faster in the Coronavirus network than in the other networks (Corona19, Shincheon, and Daegu). People who used the word “Coronavirus” communicated more frequently with each other. The spread of information was faster, and the diameter value was lower than for those who used other terms. Many of the news items highlighted the positive roles being played by individuals and groups, directing readers’ attention to the crisis. Ethical issues such as deviant behavior among the population and an entertainment frame highlighting celebrity donations also emerged often. There was a significant difference in the use of nonportal (n=14) and portal news (n=26) sites between the four network types. The news frames used in the top sources were similar across the networks (P=.89, 95% CI 0.004-0.006). Tweets containing medically framed news articles (mean 7.571, SD 1.988) were found to be more popular than tweets that included news articles adopting nonmedical frames (mean 5.060, SD 2.904; N=40, P=.03, 95% CI 0.169-4.852). Conclusions: Most of the popular news on Twitter had nonmedical frames. Nevertheless, the spillover effect of the news articles that delivered medical information about COVID-19 was greater than that of news with nonmedical frames. Social media network analytics cannot replace the work of public health officials; however, monitoring public conversations and media news that propagates rapidly can assist public health professionals in their complex and fast-paced decision-making processes.",2020,,J Med Internet Res,22,5,e18897,32325426,10.2196/18897,32788,#174963,Park 2020,,,174963,06-05-20
"Containing COVID-19 Among 627,386 Persons in Contact With the Diamond Princess Cruise Ship Passengers Who Disembarked in Taiwan: Big Data Analytics","Chen, Chi-Mai; Jyan, Hong-Wei; Chien, Shih-Chieh; Jen, Hsiao-Hsuan; Hsu, Chen-Yang; Lee, Po-Chang; Lee, Chun-Fu; Yang, Yi-Ting; Chen, Meng-Yu; Chen, Li-Sheng; Chen, Hsiu-Hsi; Chan, Chang-Chuan","Background: Low infection and case-fatality rates have been thus far observed in Taiwan. One of the reasons for this major success is better use of big data analytics in efficient contact tracing and management and surveillance of those who require quarantine and isolation. Objective: We present here a unique application of big data analytics among Taiwanese people who had contact with more than 3000 passengers that disembarked at Keelung harbor in Taiwan for a 1-day tour on January 31, 2020, 5 days before the outbreak of coronavirus disease (COVID-19) on the Diamond Princess cruise ship on February 5, 2020, after an index case was identified on January 20, 2020. Methods: The smart contact tracing–based mobile sensor data, cross-validated by other big sensor surveillance data, were analyzed by the mobile geopositioning method and rapid analysis to identify 627,386 potential contact-persons. Information on self-monitoring and self-quarantine was provided via SMS, and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) tests were offered for symptomatic contacts. National Health Insurance claims big data were linked, to follow-up on the outcome related to COVID-19 among those who were hospitalized due to pneumonia and advised to undergo screening for SARS-CoV-2. Results: As of February 29, a total of 67 contacts who were tested by reverse transcription–polymerase chain reaction were all negative and no confirmed COVID-19 cases were found. Less cases of respiratory syndrome and pneumonia were found after the follow-up of the contact population compared with the general population until March 10, 2020. Conclusions: Big data analytics with smart contact tracing, automated alert messaging for self-restriction, and follow-up of the outcome related to COVID-19 using health insurance data could curtail the resources required for conventional epidemiological contact tracing.",2020,,J Med Internet Res,22,5,e19540,32353827,10.2196/19540,32783,#174968,Chen 2020,,,174968,06-05-20
PSYCHIATRIC HOSPITALIZATION RATES IN ITALY BEFORE AND DURING COVID-19: DID THEY CHANGE? AN ANALYSIS OF REGISTER DATA,"Clerici, Massimo; Durbano, Federico; Spinogatti, Franco; Vita, Antonio; de Girolamo, Giovanni; Micciolo, Rocco","ObjectivesTo assess admission rates to 7 General Hospital Psychiatric Wards (GHPWs) located in the Lombardy Region in the 40 days after the start of COVID-19 epidemic, compared to similar periods of 2020 and 2019.MethodsAnonymized data from the regional psychiatric care register have been obtained and analyzed. The seven GHPWs care for approximately 1.4 million inhabitants and have a total of 119 beds.ResultsIn the 40-day period (February 21st-March 31st 2020) after the start of the COVID-19 epidemic in Italy, compared to a similar 40-day period prior to 21 February, and compared to two 40-day periods of 2019, there has been a marked reduction in psychiatric admission rates. The reduction was explained by voluntary admissions, while there was not a noticeable reduction for involuntary admissions. The reduction was visible for all diagnostic groups, except for a group of ‘Other’ diagnoses, which includes anxiety disorders, neurocognitive disorders, etc.ConclusionsLarge-scale pandemics can modify voluntary admission rates to psychiatric facilities in the early phases following pandemic onset. We suggest that the reduction in admission rates may be due to fear of hospitals, seen as possible sites of contagion, as well as to a change in thresholds of behavioural problems acting as a trigger for admission requests from family relatives or referrals from treating clinicians. It is unclear from the study whether the reduction in admissions was contributed to most by the current pandemic or the lockdown imposed due to the pandemic.’",2020,,Irish Journal of Psychological Medicine,,,Jan-23,,10.1017/ipm.2020.29,32781,#174970,Clerici 2020,,,174970,06-05-20
"“Daily Work in the Fever Clinics of Wuhan Union Hospital During the Novel Coronavirus Pneumonia Epidemic: A Special Spring Festival in Wuhan, China” First Person: Just Doing My Job, not Just for COVID-19 Patients, but for Everyone Every Day","Harmon, Stacy",,2020,,Spine,45,10,i,00007632-202005150-00001,10.1097/01.brs.0000666476.84095.b8 10.1097/01.EEM.0000666856.61236.4f,33234,#175082,Harmon 2020,,,175082,06-05-20
"Correction: Lymphopenia predicts disease severity of COVID-19: a descriptive and predictive study (Signal Transduction and Targeted Therapy, (2020), 5, 1, (33), 10.1038/s41392-020-0148-4)","Tan, L.; Wang, Q.; Zhang, D.; Ding, J.; Huang, Q.; Tang, Y. Q.; Miao, H.","Since the publication of this article,1 we noticed a minor mistake in the reference that needs to be corrected. To support the clinical manifestation “metabolic acidosis” in the COVID-19, in the fifth sentence of paragraph one, we cited an inappropriate reference 4 “Huang, C. et al. Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China. Lancet. 395, 497-506, (2020)” which needs to be replaced with Diagnosis and Treatment Protocol for COVID-19 (Trial Version 5) published by National Health Commission of the People’s Republic of China. The key messages of the article are not affected by this correction. We apologize for this inadvertent mistake.",2020,,Signal Transduction and Targeted Therapy,5,1,,,10.1038/s41392-020-0159-1,33229,#175087,Tan 2020,,,175087,06-05-20
Responding to Covid-19: How to Navigate a Public Health Emergency Legally and Ethically,"Gostin, L. O.; Friedman, E. A.; Wetter, S. A.","Few novel or emerging infectious diseases have posed such vital ethical challenges so quickly and dramatically as the novel coronavirus SARS-CoV-2. The World Health Organization declared a public health emergency of international concern and recently classified Covid-19 as a worldwide pandemic. As of this writing, the epidemic has not yet peaked in the United States, but community transmission is widespread. President Trump declared a national emergency as fifty governors declared state emergencies. In the coming weeks, hospitals will become overrun, stretched to their capacities. When the health system becomes stretched beyond capacity, how can we ethically allocate scarce health goods and services? How can we ensure that marginalized populations can access the care they need? What ethical duties do we owe to vulnerable people separated from their families and communities? And how do we ethically and legally balance public health with civil liberties?",2020,,The Hastings Center report,50,2,08-Dec,,10.1002/hast.1090,32681,#175097,Gostin 2020,,,175097,06-05-20
The Adaptation of Parliament's Multiple Roles to COVID-19,"Malloy, Jonathan","Legislatures are complex institutions that serve many purposes. While their overall roles vary in different political systems, they typically serve multiple functions including representation, lawmaking, scrutiny of government, public symbolism, and others. These inevitably overlap and sometimes collide; similarly, individual legislators must balance party, constituency, and personal factors in their decision-making. Now, in a time of sudden and unexpected disruption amid the COVID-19 pandemic, the Parliament of Canada has been forced to rethink its complex activities under urgent and unexpected new conditions. Given its inherently paradoxical nature, Parliament has struggled at times to adapt, sometimes with open partisan disagreements. In this analysis, I explore how adaptation thus far has revealed the complexity of Parliament’s multiple purposes, emphasizing Parliament’s law-making and scrutiny roles over others, such as representation. I suggest that moving to a fully “virtual” Parliament may further emphasize some roles at the expense of others.",2020,,Canadian Journal of Political Science,,,01-May,,10.1017/S0008423920000426,32482,#175180,Malloy 2020,,,175180,06-05-20
A Human Rights Approach to Emergency Response? The Advocacy of Canada's Human Rights Commissions During the COVID-19 Crisis,"De Silva, Nicole","Emergencies can undermine human rights by disrupting societies, increasing vulnerabilities, and prompting extraordinary responses from governments and other actors. During the COVID-19 public health emergency, Canada’s federal, provincial and territorial human rights commissions (HRCs) have mobilized to advocate for upholding human rights. Based on an original dataset and content analysis of HRCs’ official statements in response to COVID-19, this research note examines the points of consistency and variation in HRCs’ advocacy for human rights during the COVID-19 crisis. It shows how HRCs have highlighted core human rights issues and obligations, and advocated for various policies and practices that promote respect for human rights during the COVID-19 crisis. In an emergency typically framed in terms of public health and safety, aggregating and comparatively analyzing these Canadian human rights authorities’ advocacy provides a foundation for deliberating whether and how a human rights approach to COVID-19 response should be pursued.",2020,,Canadian Journal of Political Science,,,01-Sep,,10.1017/S0008423920000438,32481,#175181,DeSilva 2020,,,175181,06-05-20
Health psychology and the coronavirus (COVID-19) global pandemic: A call for research,"Arden, M. A.; Chilcot, J.",,2020,,British journal of health psychology,25,2,231-232,,10.1111/bjhp.12414,32458,#175204,Arden 2020,,,175204,06-05-20
Chinese mental health burden during the COVID-19 pandemic,"Huang, Y.; Zhao, N.","We aimed to assess the Chinese mental health burden during the COVID-19 pandemic. Data were collected from 7,236 participants assessed with anxiety disorders, depressive symptoms, and poor sleep . The overall prevalence of anxiety disorders, depressive symptoms, sleep quality were 35.1%, 20.1%, 18.2%, respectively. Younger people reported a higher prevalence of anxiety disorders and depressive symptoms than older people (P < 0.001). Compared with other occupation, healthcare workers have the highest rate of poor sleep quality (P < 0.001). We identified a major mental health burden of the public during the COVID-19 pandemic outbreak in China. Younger people and healthcare workers were at high risk for mental illness.",2020,,Asian Journal of Psychiatry,51,,,,10.1016/j.ajp.2020.102052,32398,#175264,Huang 2020,,,175264,06-05-20
Whole body point-care ultrasound for COVID-19: a multi-system approach to a multi-system disease,"Sikachi, R.; Agrawal, A.",,2020,,Anaesthesia,,,,,10.1111/anae.15087,32379,#175283,Sikachi 2020,,,175283,06-05-20
Personal protective equipment and possible routes of airborne spread during the COVID-19 pandemic,"Brown, J.; Pope, C.",,2020,,Anaesthesia,,,,,10.1111/anae.15097,32372,#175290,Brown 2020,,,175290,06-05-20
Let food be the medicine but not for coronavirus: utrition and food science telling myths from facts,"El Ghoch, M.; Valerio, A.","The entire globe is facing a dangerous pandemic due to the coronavirus disease (COVID-19). The medical and scientific community is trying to figure out and adopt effective strategies that can lead to (i) preventing virus expansion; (ii) identifying medications for the management of critical care and reducing rates of mortality; and (iii) finally discovering the highly anticipated vaccine. Nutritional interventions have attained considerable scientific evidence in disease prevention and treatment. The main question, “What is the role of nutrition and food science in this scenario?"" requires urgent answer as many theories suggesting that specific food or dietary supplements can fight coronavirus infection have received extensive coverage in most popular social media platforms. In this editorial, we focus on some frequent statements on the role of nutrition and food science in the battle against COVID-19, distinguishing between myths and facts. We highlight that social distancing and hygiene precautions are the best practices for reducing the risk of COVID-19 transmission. We further underline the importance of nutrition in its wholistic concept, pointing out the risk of unproven dietary options that could lead individuals to weaken effective precautionary measures.",2020,,Journal of Population Therapeutics and Clinical Pharmacology,27,2,e1-e4,,10.15586/jptcp.v27i2.682,32947,#175369,ElGhoch 2020,,,175369,06-05-20
Angiotensin-converting enzyme-2 in SARS-CoV-2 infection: good or bad?,"Versmissen, Jorie; Verdonk, Koen; Lafeber, Melvin; van den Akker, Johannes P.C.; Hunfeld, Nicole G.M.; Hoorn, Ewout J.; Danser, A.H. Jan",,2020,,Journal of Hypertension,38,6,1196-1197,00004872-202006000-00032,10.1097/hjh.0000000000002472,32878,#175438,Versmissen 2020,,,175438,06-05-20
"Angiotensin-converting enzyme inhibitors, angiotensin II receptor blockers and coronavirus","Verdecchia, Paolo; Angeli, Fabio; Reboldi, Gianpaolo",,2020,,Journal of Hypertension,38,6,1190-1191,00004872-202006000-00026,10.1097/hjh.0000000000002469,32877,#175439,Verdecchia 2020,,,175439,06-05-20
Hypertension and coronavirus disease 2019 mortality,"Tapia-Orihuela, Ruben Kevin A.",,2020,,Journal of Hypertension,38,6,1197-1198,00004872-202006000-00033,10.1097/hjh.0000000000002476,32876,#175440,Tapia-Orihuela 2020,,,175440,06-05-20
Hypertension and predisposition to infection: an important issue during this global pandemic,"Moini, Nasreen; Neef, Pieter",,2020,,Journal of Hypertension,38,6,1195-1196,00004872-202006000-00031,10.1097/hjh.0000000000002471,32875,#175441,Moini 2020,,,175441,06-05-20
Hypertension and coronavirus disease 2019: what do we really know?,"Mandler, Ari G.",,2020,,Journal of Hypertension,38,6,1194-1195,00004872-202006000-00030,10.1097/hjh.0000000000002470,32874,#175442,Mandler 2020,,,175442,06-05-20
Could renin–angiotensin–aldosterone system inhibitors be used for hypertensive patients with coronavirus disease 2019?,"Liu, Di; Li, Yun-Zhao; Wu, Hui",,2020,,Journal of Hypertension,38,6,1191-1192,00004872-202006000-00028,10.1097/hjh.0000000000002474,32873,#175443,Liu 2020,,,175443,06-05-20
"COVID-19, hypertension and angiotensin receptor-blocking drugs","Fernández-Fernández, Francisco José",,2020,,Journal of Hypertension,38,6,1191,00004872-202006000-00027,10.1097/hjh.0000000000002468,32872,#175444,Fernández-Fernández 2020,,,175444,06-05-20
Reply: Possible impact of membrane ACE2 expression on COVID-19 infection,"Esler, Murray; Esler, Danielle",,2020,,Journal of Hypertension,38,6,1192-1194,00004872-202006000-00029,10.1097/hjh.0000000000002484,32871,#175445,Esler 2020,,,175445,06-05-20
Comment on ‘Can angiotensin receptor-blocking drugs perhaps be harmful in the COVID-19 pandemic?’,"Cüre, Erkan; Cumhur Cüre, Medine",,2020,,Journal of Hypertension,38,6,1189-1198,00004872-202006000-00025,10.1097/hjh.0000000000002481,32870,#175446,Cüre 2020,,,175446,06-05-20
COVID-19-Related Web Search Behaviors and Infodemic Attitudes in Italy: Infodemiological Study,"Rovetta, Alessandro; Bhagavathula, Akshaya Srikanth","Background: Since the beginning of the novel coronavirus disease (COVID-19) outbreak, fake news and misleading information have circulated worldwide, which can profoundly affect public health communication. Objective: We investigated online search behavior related to the COVID-19 outbreak and the attitudes of “infodemic monikers” (ie, erroneous information that gives rise to interpretative mistakes, fake news, episodes of racism, etc) circulating in Italy. Methods: By using Google Trends to explore the internet search activity related to COVID-19 from January to March 2020, article titles from the most read newspapers and government websites were mined to investigate the attitudes of infodemic monikers circulating across various regions and cities in Italy. Search volume values and average peak comparison (APC) values were used to analyze the results. Results: Keywords such as “novel coronavirus,” “China coronavirus,” “COVID-19,” “2019-nCOV,” and “SARS-COV-2” were the top infodemic and scientific COVID-19 terms trending in Italy. The top five searches related to health were “face masks,” “amuchina” (disinfectant), “symptoms of the novel coronavirus,” “health bulletin,” and “vaccines for coronavirus.” The regions of Umbria and Basilicata recorded a high number of infodemic monikers (APC weighted total >140). Misinformation was widely circulated in the Campania region, and racism-related information was widespread in Umbria and Basilicata. These monikers were frequently searched (APC weighted total >100) in more than 10 major cities in Italy, including Rome. Conclusions: We identified a growing regional and population-level interest in COVID-19 in Italy. The majority of searches were related to amuchina, face masks, health bulletins, and COVID-19 symptoms. Since a large number of infodemic monikers were observed across Italy, we recommend that health agencies use Google Trends to predict human behavior as well as to manage misinformation circulation in Italy.",2020,,JMIR Public Health Surveill,6,2,e19374,32338613,10.2196/19374,32835,#175481,Rovetta 2020,,,175481,06-05-20
Turning the Crisis Into an Opportunity: Digital Health Strategies Deployed During the COVID-19 Outbreak,"Pérez Sust, Pol; Solans, Oscar; Fajardo, Joan Carles; Medina Peralta, Manuel; Rodenas, Pepi; Gabaldà, Jordi; Garcia Eroles, Luis; Comella, Adrià; Velasco Muñoz, César; Sallent Ribes, Josuè; Roma Monfa, Rosa; Piera-Jimenez, Jordi","Digital health technologies offer significant opportunities to reshape current health care systems. From the adoption of electronic medical records to mobile health apps and other disruptive technologies, digital health solutions have promised a better quality of care at a more sustainable cost. However, the widescale adoption of these solutions is lagging behind. The most adverse scenarios often provide an opportunity to develop and test the capacity of digital health technologies to increase the efficiency of health care systems. Catalonia (Northeast Spain) is one of the most advanced regions in terms of digital health adoption across Europe. The region has a long tradition of health information exchange in the public health care sector and is currently implementing an ambitious digital health strategy. In this viewpoint, we discuss the crucial role digital health solutions play during the coronavirus disease (COVID-19) pandemic to support public health policies. We also report on the strategies currently deployed at scale during the outbreak in Catalonia.",2020,,JMIR Public Health Surveill,6,2,e19106,32339998,10.2196/19106,32834,#175482,PérezSust 2020,,,175482,06-05-20
"What’s Important: Weathering the COVID-19 Crisis: Time for Leadership, Vigilance, and Unity","Halawi, Mohamad J.; Wang, Daniel D.; Hunt, Thomas R. III",,2020,,JBJS,102,9,759-760,00004623-202005060-00005,10.2106/jbjs.20.00419,32802,#175514,Halawi 2020,,,175514,06-05-20
